# Miss Marple
> Radio

| Title | Show | Episodes | Episode Frequency | Original airdate |
| --- | --- | --- | --- | --- |
| Murder At the Vicarage |  | 5 | Daily | 26–30 December 1993 |
| A Pocket Full of Rye | The Saturday Playhouse | 1 |  | 11 February 1995 |
| At Bertram's Hotel |  | 5 | Daily | 25–29 December 1995 |
| The 4:50 From Paddington | The Saturday Playhouse | 1 |  | 29 March 1997 |
| A Caribbean Mystery |  | 5 | Weekly | 30 October – 27 November 1997 |
| The Mirror Crack'd From Side to Side | Agatha Christie Special | 1 |  | 29 August 1998 |
| Nemesis |  | 5 | Weekly | 9 November – 7 December 1998 |
| The Body In the Library | The Saturday Play | 1 |  | 22 May 1999 |
| A Murder Is Announced |  | 5 | Weekly | 9 August – 6 September 1999 |
| The Moving Finger | The Saturday Play | 1 |  | 5 May 2001 |
| They Do It With Mirrors |  | 5 | Weekly | 23 July 2001 – 20 August 2001 |
| Sleeping Murder | The Saturday Play | 1 |  | 8 December 2001 |
