# List of Sailor Moon episodes
> Episode list

| No. | Cloverway title [7] Original Japanese [8] and Viz [9] titles | Episode director(s) | Writer(s) | Art director(s) | Animation director(s) | Original airdate [8] | English airdate |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 128 | "Dreams Take Flight" "Meeting of Destiny: The Night Pegasus Dances" "Unmei no deai! Pegasasu no mau yoru" (運命の出会い!ペガサスの舞う夜) | Kunihiko Ikuhara | Yoji Enokido | Kazuyuki Hashimoto | Katsumi Tamegai | March 4, 1995 | September 26, 2000 |
| 129 | "No Ordinary Horsepower" "Super Transformation Once Again: Pegasus's Power" "Supā henshin futatabi! Pegasasu no pawā" (スーパー変身再び!ペガサスの力) | Noriyo Sasaki | Megumi Sugihara | Kenichi Tajiri | Mari Tominaga | March 11, 1995 | September 27, 2000 |
| 130 | "Sweet Dreams" "Protect Mom's Dream: Double Moon's New Attack" "Mamore haha no yume! Daburu mūn no shin hissatsu waza" (守れ母の夢!Wムーンの新必殺技) | Hiroki Shibata | Ryota Yamaguchi | Kazuhisa Asai | Hisashi Kagawa | March 18, 1995 | September 28, 2000 |
| 131 | "Baiting The Trap" "Catch Pegasus: The Amazon's Trap" "Pegasasu wo toraero! Amazon no wana" (ペガサスを捕えろ!アマゾンの罠) | Yūji Endō | Genki Yoshimura | Minoru Ōkōchi | Shinya Hasegawa | March 25, 1995 | September 29, 2000 |
| 132 | "Perfect Couple" "The Perfect Couple: Usagi and Mamoru's Love" "Oniai no futari! Usagi to Mamoru no ai" (お似合いの二人!うさぎと衛の愛) | Junichi Sato | Yoji Enokido | Kazuhisa Asai | Masahiro Andō | April 15, 1995 | October 2, 2000 |
| 133 | "Much Ado About Kitten" "Artemis Is Cheating? Enter the Mysterious Kitten" "Arutemisu no uwaki? Nazo no koneko tōjō" (アルテミスの浮気?謎の子猫登場) | Harume Kosaka | Megumi Sugihara | Kenichi Tajiri | Mari Tominaga | April 29, 1995 | October 3, 2000 |
| 134 | "A Pegasus Page Turner" "Makoto's Friendship: A Girl Who Admired Pegasus" "Makoto no yūjō! Tenba ni akogareta shōjo" (まことの友情!天馬に憧れた少女) | Hiroki Shibata | Ryota Yamaguchi | Minoru Ōkōchi | Katsumi Tamegai | May 13, 1995 | October 4, 2000 |
| 135 | "A Teacher's Lesson" "Connecting Hearts: Chibi-Usa and Pegasus" "Fureau kokoro! Chibiusa to Pegasasu" (触れ合う心!ちびうさとペガサス) | Noriyo Sasaki | Yoji Enokido | Kazuyuki Hashimoto | Hisashi Kagawa | May 20, 1995 | October 5, 2000 |
| 136 | "The Trouble With Love" "Protect Mamoru: Ninja Usagi's Jealousy" "Mamoru wo mamore! Ninja Usagi no yakimochi" (衛を守れ!忍者うさぎのヤキモチ) | Yūji Endō | Megumi Sugihara | Kazuhisa Asai | Shinya Hasegawa | May 27, 1995 | October 6, 2000 |
| 137 | "Phony Fairy" "Forest of Illusion: A Beautiful Fairy's Invitation" "Ayakashi no mori! Utsukushiki yōsei no izanai" (あやかしの森!美しき妖精の誘い) | Kunihiko Ikuhara | Genki Yoshimura | Kenichi Tajiri | Taichi Nakamura | June 3, 1995 | October 9, 2000 |
| 138 | "Driven Dreamer" "Drive to the Heavens: The Dream Car Fueled with Love" "Tengoku made hashire! Yume no kuruma ni kakeru ai" (天国まで走れ!夢の車にかける愛) | Hiroki Shibata | Ryota Yamaguchi | Minoru Ōkōchi | Masahiro Andō | June 10, 1995 | October 10, 2000 |
| 139 | "Cutting It Close" "Aiming for the Top: the Pretty Swordswoman's Dilemma" "Mezase Nippon ichi! Bishōjo kenshi no nayami" (目指せ日本一!美少女剣士の悩み) | Harume Kosaka | Mutsuri Nakano | Kazuyuki Hashimoto | Ikuko Itō | June 17, 1995 | October 11, 2000 |
| 140 | "Clothes Call" "We Love Fashion: The Stylish Guardians" "Mini ga daisuki! Oshare na Senshitachi" (ミニが大好き!おしゃれな戦士達) | Junichi Sato | Genki Yoshimura | Kazuhisa Asai | Mari Tominaga | July 1, 1995 | October 12, 2000 |
| 141 | "Double Trouble" "Storm of Love: Minako's Grand Two-Timing Plan" "Koi no arashi! Minako no futamata daisakusen" (恋の嵐!美奈子のフタマタ大作戦) | Takuya Igarashi | Ryota Yamaguchi | Kenichi Tajiri | Hisashi Kagawa | July 8, 1995 | October 13, 2000 |
