# Major Stock Exchanges by Country Region (Selected Markets)

| Country/Region | Exchange (Official Name) | Common Acronym | Primary City | Notes |
| --- | --- | --- | --- | --- |
| United States | New York Stock Exchange | NYSE | New York | Equities and ETFs |
| United States | Nasdaq Stock Market | NASDAQ | New York | Tech-heavy listings |
| Canada | Toronto Stock Exchange | TSX | Toronto | Main Canadian equity market |
| Mexico | Bolsa Mexicana de Valores | BMV | Mexico City | Main Mexican exchange |
| Brazil | B3 (Brasil Bolsa Balcão) | B3 | São Paulo | Formed by mergers of Brazilian markets |
| United Kingdom | London Stock Exchange | LSE | London | Part of LSEG |
| Germany | Frankfurt Stock Exchange | FWB | Frankfurt | Operated by Deutsche Börse |
| France | Euronext Paris | EPA | Paris | Part of Euronext group |
| Japan | Tokyo Stock Exchange | TSE | Tokyo | Part of Japan Exchange Group |
| China | Shanghai Stock Exchange | SSE | Shanghai | Mainland China A-shares |
| Hong Kong SAR (China) | Hong Kong Stock Exchange | HKEX | Hong Kong | Major international listings |
| India | National Stock Exchange of India | NSE | Mumbai | Large derivatives market |
| Australia | Australian Securities Exchange | ASX | Sydney | Australian equities and derivatives |
