# Grand Slam Singles Title Winners — Players and Career Totals (All-Time Leaders, Mixed Gender)

| Player | Gender | Grand Slam Singles Titles | Era Note |
|---|---|---:|---|
| Margaret Court | Women | 24 | Pre-Open & Open Era |
| Novak Djokovic | Men | 24 | Open Era |
| Serena Williams | Women | 23 | Open Era |
| Steffi Graf | Women | 22 | Open Era |
| Rafael Nadal | Men | 22 | Open Era |
| Roger Federer | Men | 20 | Open Era |
| Chris Evert | Women | 18 | Open Era |
| Martina Navratilova | Women | 18 | Open Era |
| Rod Laver | Men | 11 | Pre-Open & Open Era |
| Billie Jean King | Women | 12 | Pre-Open & Open Era |
