# Language & Humanities Subjects Offered at GCSE and or A level (Availability Matrix)

| Subject Area | Subject | GCSE Available | A level Available |
|---|---|---|---|
| Languages | French | Yes | Yes |
| Languages | German | Yes | Yes |
| Languages | Spanish | Yes | Yes |
| Languages | Mandarin Chinese | Yes | Yes |
| Languages | Latin | Yes | Yes |
| Languages | Classical Greek | No | Yes |
| Humanities | History | Yes | Yes |
| Humanities | Geography | Yes | Yes |
| Humanities | Religious Studies | Yes | Yes |
| Humanities | Philosophy | No | Yes |
| Humanities | Politics | No | Yes |
| Humanities | Ancient History | Yes | Yes |
| Social Sciences | Psychology | No | Yes |
| Social Sciences | Sociology | Yes | Yes |
| Social Sciences | Law | No | Yes |
