# Name Meaning & Origin with Year-by-Year Popularity Movement (2018–2024)

| Name | Origin | Meaning | Gender | 2018 Rank | 2019 Rank | 2020 Rank | 2021 Rank | 2022 Rank | 2023 Rank | 2024 Rank |
| --- | --- | --- | --- | ---: | ---: | ---: | ---: | ---: | ---: | ---: |
| Mia | Scandinavian/Latin | mine; beloved | F | 7 | 6 | 5 | 4 | 3 | 3 | 2 |
| Oliver | Latin | olive tree | M | 5 | 4 | 3 | 3 | 3 | 2 | 2 |
| Amelia | Germanic | work | F | 2 | 2 | 2 | 2 | 2 | 1 | 1 |
| Elijah | Hebrew | my God is Yahweh | M | 9 | 8 | 6 | 5 | 4 | 4 | 3 |
| Harper | English | harp player | F | 11 | 10 | 9 | 10 | 12 | 13 | 15 |
| Lucas | Latin | from Lucania | M | 8 | 7 | 8 | 7 | 7 | 7 | 6 |
| Evelyn | English | wished for child | F | 12 | 9 | 10 | 9 | 10 | 9 | 10 |
| Aria | Italian | air; melody | F | 19 | 18 | 16 | 17 | 18 | 20 | 22 |
| Benjamin | Hebrew | son of the right hand | M | 6 | 6 | 7 | 8 | 8 | 9 | 9 |
| Layla | Arabic | night | F | 23 | 24 | 26 | 25 | 24 | 23 | 21 |
