# Capital punishment status in Southern, Central, and Eastern Europe (country-by-country abolition year)

| Subregion | Country | Current legal status | Abolition year (for all crimes) | Notes |
|---|---|---|---:|---|
| Southern Europe | Spain | Abolished | 1995 | Final abolition completed by removing remaining wartime provisions |
| Southern Europe | Portugal | Abolished | 1976 | Full abolition consolidated in the modern constitutional era |
| Southern Europe | Italy | Abolished | 1994 | Final abolition in law after earlier restrictions |
| Southern Europe | Greece | Abolished | 2004 | Full abolition completed in the 2000s |
| Central Europe | Austria | Abolished | 1968 | Abolished for all crimes |
| Central Europe | Switzerland | Abolished | 1942 | Abolished in the federal criminal code (full nationwide framework) |
| Central Europe | Czech Republic | Abolished | 1990 | Abolition following democratic transition |
| Central Europe | Slovakia | Abolished | 1990 | Abolition following political transition |
| Eastern Europe | Poland | Abolished | 1997 | Abolished for all crimes |
| Eastern Europe | Hungary | Abolished | 1990 | Abolition by constitutional/legislative change |
| Eastern Europe | Romania | Abolished | 1990 | Abolition after regime change |
| Eastern Europe | Ukraine | Abolished | 2000 | Full abolition completed around turn of the century |
