# Presidents Under the Articles of Confederation (U.S. in Congress Assembled) — Individuals Paired With State

| Sequence | Person | State |
|---:|---|---|
| 1 | Samuel Huntington | Connecticut |
| 2 | Thomas McKean | Delaware |
| 3 | John Hanson | Maryland |
| 4 | Elias Boudinot | New Jersey |
| 5 | Thomas Mifflin | Pennsylvania |
| 6 | Richard Henry Lee | Virginia |
| 7 | John Hancock | Massachusetts |
| 8 | Nathaniel Gorham | Massachusetts |
| 9 | Arthur St. Clair | Pennsylvania |
| 10 | Cyrus Griffin | Virginia |
