# Major Newspapers Ranked by Corporate Owner (Selected Markets)

| Rank | Owner/Parent Company | Newspaper Title | Headquarters City | Notes |
| --- | --- | --- | --- | --- |
| 1 | Gannett | USA Today | Arlington | Flagship national title |
| 2 | News Corp | The Wall Street Journal | New York | Business-focused daily |
| 3 | The New York Times Company | The New York Times | New York | National + NYC focus |
| 4 | Tribune Publishing (legacy) | Los Angeles Times | Los Angeles | West Coast metro daily |
| 5 | Postmedia Network | National Post | Toronto | Canadian national |
| 6 | Torstar Corporation | Toronto Star | Toronto | Canadian metro daily |
| 7 | GEDI Gruppo Editoriale | la Repubblica | Rome | Italian national |
| 8 | RCS MediaGroup | Corriere della Sera | Milan | Italian national |
| 9 | GateHouse Media (legacy) | The Providence Journal | Providence | Regional daily |
| 10 | Hearst Communications | San Francisco Chronicle | San Francisco | West Coast metro daily |
