# Typical Admitted High School GPA by College (Selection of US Universities)

| College | Typical Admitted HS GPA (Avg) | Chance Indicator | Notes |
| --- | ---: | --- | --- |
| Arizona State University (Tempe) | 3.5 | Likely | Broad admit range; majors vary |
| University of Oregon | 3.6 | Match | GPA varies by program |
| San Diego State University | 3.9 | Reach | Impacted majors can be higher |
| University of Colorado Boulder | 3.7 | Match | Competitive for engineering |
| Penn State (University Park) | 3.6 | Match | Some colleges within PSU are more selective |
| Rutgers University–New Brunswick | 3.7 | Match | Honors/flagship programs may be higher |
| University of Connecticut | 3.6 | Match | In-state vs out-of-state can differ |
| Indiana University Bloomington | 3.7 | Match | Kelley/Direct Admit can be higher |
| Michigan State University | 3.6 | Likely | Strong grades help for selective majors |
| University of Utah | 3.5 | Likely | Western regional applicants common |
| University of Delaware | 3.6 | Match | Competitive for nursing/business |
| University of Massachusetts Amherst | 3.9 | Reach | GPA tends higher for STEM/business |
