# List of In Living Color episodes
> Episodes

| No. in Series | No. in Season | Air Date | Sketches |
| --- | --- | --- | --- |
| 1 | 1 | 15 April 1990 | " Love Connection : Jewish Woman Dates a Black Man" "Great Moments in Black History: First Black Man on the Moon" " Homeboy Shopping Network " " Redd Foxx for Hire" "Equity Express" " Men on Film " |
| 2 | 2 | 21 April 1990 | "Do-It-Yourself Milli Vanilli Kit" (cut from DVD) " Arsenio and Marion Barry " "Rap Choir" " Sugar Ray Leonard Transition" "Star Trek: The Wrath of Farrakhan " " Ridin' Miss Daisy " |
| 3 | 3 | 28 April 1990 | "Lean on Me, Beautiful" "Mitzvah Train" "Go On Girl" "Oswald Bates for The United Negro Scholarship Fund" "Too-Too Ethnic" " Lassie '90" " Richard Pryor : Scared for No Reason" "Vortex, the Super Absorbent Tampons" |
| 4 | 4 | 5 May 1990 | " Oprah " "The Exxxon Family" ( Note : This was originally the fictional ad for "Colt 45" on the original FOX broadcast, but has been replaced with "The Exxxon Family" on DVD and in syndication, FX, FXX, BET, and Centric) "Great Moments in Black History: The First Self-Service Gas Station" "Jim Carrey's Celebrity Impressions Transition" " Rhythmless Nation " (cut on DVD) "Anton" "Men on Art" |
| 5 | 5 | 12 May 1990 | " Three Champs and a Baby " "New Ambassador" "A Date with Grace " "Hefty World Condominium Estates" "Homeboy Shopping Network: Used Car Sale" "Black World" |
| 6 | 6 | 19 May 1990 | "Bad Karate Class" "Greshan Formula" "Jheri's Kids" " Tracy Chapman 's Creative Process" "Oppression for Black Men" "Snackin' Shack" |
| 7 | 7 | 27 May 1990 | " Don King : The Early Years" "Cookin' with Salt-n-Pepa " (cut from DVD) "Hey Mon" " Ted Turner 's Very Colorized Classics— Casablanca " "Rallo" "Men on Books" |
| 8 | 8 | 3 June 1990 | " President Jackson 's Farewell Address" " K-Tel Presents Cephus & Reesie Mayweather" "Endangered Species" "Casa de Hair" "This Ol' Box" with Anton Jackson |
| 9 | 9 | 17 June 1990 | "Mo' Money with Whiz and Ice" " America's Funniest Security Camera Videos " " Andrea Dice Clay " "Hey Mon/Hedly Airlines" "Homey D. Clown" |
| 10 | 10 | 24 June 1990 | " Michael Jackson Mr. Potato Head" "Disc Jokey, Death Jockey Trailer" "School for the Self-Taught" "Lil' Miss Trouble" " Uncle Joe 's Fairy Tales" " Old Train " "Vera De Milo, Bodybuilder" |
| 11 | 11 | 15 July 1990 | "The Brothers Brothers" " MC Hammer Video" "Cine-Globe" "Calhoun Tubbs" " Ted Turner 's Very Colorized Classics— Redd Foxx's The Kid " "Anton on Po' People's Court " |
| 12 | 12 | 2 September 1990 | "Vortex of Fear" " Ray Charles in Charge" " Little Richard 's Playhouse" " Della Reese 's Pieces" "Secret Council" " I Love Laquita " |
| 13 | 13 | 9 September 1990 | "Homey D. Clown's One Stop Carnival" "David Alan Grier Transition" "Benita Butrell" " Michael Winslow —A One-Man Show" " Samantha Kinison " "The Buttmans" |
