# Cruise Lines by Segment and Corporate Ownership

| Cruise line | Segment | Operating status | Headquarters (city, country) | Owner / controlling entity | Founded / started as cruise line |
|---|---|---|---|---|---|
| Royal Caribbean International | Contemporary | Operating | Miami, United States | Royal Caribbean Group | 1968 |
| Seabourn | Luxury | Operating | Seattle, United States | Carnival Corporation & plc | 1986 |
| Regent Seven Seas Cruises | Luxury | Operating | Miami, United States | Norwegian Cruise Line Holdings | 1992 |
| Silversea Cruises | Luxury | Operating | Monaco | Royal Caribbean Group | 1994 |
| Azamara | Premium | Operating | Miami, United States | Sycamore Partners (private equity) | 2007 |
| AIDA Cruises | Contemporary | Operating | Rostock, Germany | Carnival Corporation & plc | 1996 |
| Ponant | Luxury / Expedition | Operating | Marseille, France | Kering / Groupe Artémis (majority stake) | 1988 |
| Hurtigruten | Expedition / Coastal | Operating | Oslo, Norway | Hurtigruten Group | 1893 |
| Windstar Cruises | Small-ship | Operating | Miami, United States | Xanterra Travel Collection | 1984 |
| Celestyal Cruises | Contemporary (regional) | Operating | Athens, Greece | Private (Celestyal) | 2014 |
| Pullmantur Cruises | Contemporary | Ceased operations | Madrid, Spain | Formerly Royal Caribbean Group / Spanish investors | 1990 |
| Cruise & Maritime Voyages (CMV) | Classic / Niche | Ceased operations | Purfleet, United Kingdom | Private (CMV) | 2010 |
