# Field Measurements of Bottled Water pH (Published vs Measured, Multiple Instruments)

| Brand/Product | Measured pH (Meter A) | Measured pH (Meter B) | Published pH | Location | Notes |
| --- | --- | --- | --- | --- | --- |
| Icelandic Glacial | 8.2 | 8.3 | 8.4 | NYC | Label claim included |
| Evian | 7.1 | 7.2 | 7.2 | NYC | Near-neutral |
| Poland Spring | 6.2 | 6.3 | 6.5 | NYC | Variation by lot |
| Essentia | 9.0 | 9.1 | 9.5 | NYC | Alkaline-enhanced |
| Aquafina | 5.7 | 5.8 | 5.5 | NYC | Purified |
| Dasani | 5.5 | 5.6 | 5.0 | NYC | Purified |
| Perrier | 5.3 | 5.4 | 5.5 | NYC | Sparkling |
| S. Pellegrino | 5.1 | 5.2 | 7.7 | NYC | Sparkling; discrepancy shown |
| Fiji | 7.0 | 7.1 | 7.7 | NYC | Artesian |
| VOSS | 7.2 | 7.3 | 6.0 | NYC | Published vs measured |
