# Seoul Special City — Postal Code Prefix Patterns by District (Selected)

| Level | Jurisdiction (English) | Jurisdiction type | Prefix / pattern (ZIP5 leading digits) | Notes |
| --- | --- | --- | --- | --- |
| City | Seoul Special City | Metropolitan city | 0XX** | District-level patterns below |
| District | Jongno-gu | District (gu) | 030**–031** | Central Seoul (historic core) |
| District | Jung-gu | District (gu) | 045**–046** | Matches a contiguous two-prefix block |
| District | Yongsan-gu | District (gu) | 043**–044** | Adjacent to central districts |
| District | Seongdong-gu | District (gu) | 047**–048** | East of downtown |
| District | Gwangjin-gu | District (gu) | 049**–050** | Along the Han River east side |
| District | Dongdaemun-gu | District (gu) | 025**–026** | Northeast inner city |
| District | Jungnang-gu | District (gu) | 020**–021** | Northeast outer area |
| District | Seongbuk-gu | District (gu) | 027**–028** | North of downtown |
| District | Gangbuk-gu | District (gu) | 010**–012** | Northern Seoul |
| District | Dobong-gu | District (gu) | 013**–014** | Far north |
| District | Nowon-gu | District (gu) | 016**–018** | Northeast residential |
| District | Eunpyeong-gu | District (gu) | 033**–035** | Northwest Seoul |
| District | Seodaemun-gu | District (gu) | 036**–037** | West-central |
| District | Mapo-gu | District (gu) | 039**–042** | West of central core |
| District | Yeongdeungpo-gu | District (gu) | 072**–074** | Southwest (Yeouido/industrial) |
| District | Dongjak-gu | District (gu) | 069**–071** | South of Han River |
| District | Gwanak-gu | District (gu) | 087**–088** | Southern Seoul |
| District | Seocho-gu | District (gu) | 065**–067** | Gangnam area west |
| District | Gangnam-gu | District (gu) | 060**–063** | Gangnam core |
| District | Songpa-gu | District (gu) | 055**–058** | Southeast Seoul |
| District | Gangdong-gu | District (gu) | 052**–054** | Far east |
| District | Gangseo-gu | District (gu) | 075**–078** | West (near Gimpo) |
| District | Yangcheon-gu | District (gu) | 079**–081** | Southwest residential |
| District | Guro-gu | District (gu) | 082**–084** | Southwest |
| District | Geumcheon-gu | District (gu) | 085**–086** | Southwest edge |
