# List of Greater London boundary changes
> Electoral boundaries

| Date | Statutory Instrument | LGBCE Report |
| --- | --- | --- |
| 2 May 1974 | The London Borough of Lewisham (Wards) Order 1973 | n/a (Renamed one existing ward) |
| 2 May 1974 | The Royal Borough of Kensington and Chelsea (Wards) Order 1973 | Report No. 004: Kensington and Chelsea October 1973 |
| 2 May 1974 | The London Borough of Bexley (Wards) Order 1974 | Report No. 007: Bexley (Belvedere Ward) December 1973 |
| 4 May 1978 | The London Borough of Barking (Electoral Arrangements) Order 1977 | Report No. 185: Barking February 1977 |
| 4 May 1978 | The London Borough of Barnet (Electoral Arrangements) Order 1977 | Report No. 248: Barnet August 1977 |
| 4 May 1978 | The London Borough of Bexley (Electoral Arrangements) Order 1977 | Report No. 241: Bexley August 1977 |
| 4 May 1978 | The London Borough of Brent (Electoral Arrangements) Order 1977 | Report No. 226: Brent July 1977 |
| 4 May 1978 | The London Borough of Bromley (Electoral Arrangements) Order 1977 | Report No. 258: Bromley October 1977 |
| 4 May 1978 | The London Borough of Camden (Electoral Arrangements) Order 1977 | Report No. 230: Camden August 1977 |
| 4 May 1978 | The London Borough of Croydon (Electoral Arrangements) Order 1977 | Report No. 211: Croydon May 1977 |
| 4 May 1978 | The London Borough of Ealing (Electoral Arrangements) Order 1977 | Report No. 209: Ealing May 1977 |
| 4 May 1978 | The London Borough of Greenwich (Electoral Arrangements) Order 1977 | Report No. 234: Greenwich August 1977 |
| 4 May 1978 | The London Borough of Hackney (Electoral Arrangements) Order 1977 | Report No. 223: Hackney July 1977 |
| 4 May 1978 | The London Borough of Hammersmith (Electoral Arrangements) Order 1977 | Report No. 210: Hammersmith and Fulham May 1977 |
| 4 May 1978 | The London Borough of Haringey (Electoral Arrangements) Order 1977 | Report No. 254: Haringey September 1977 |
| 4 May 1978 | The London Borough of Havering (Electoral Arrangements) Order 1977 | Report No. 214: Havering May 1977 |
| 4 May 1978 | The London Borough of Hillingdon (Electoral Arrangements) Order 1977 | Report No. 217: Hillingdon June 1977 |
| 4 May 1978 | The London Borough of Hounslow (Electoral Arrangements) Order 1977 | Report No. 193: Hounslow April 1977 |
| 4 May 1978 | The London Borough of Islington (Electoral Arrangements) Order 1977 | Report No. 219: Islington June 1977 |
| 4 May 1978 | The Royal Borough of Kensington and Chelsea (Electoral Arrangements) Order 1977 | Report No. 207: Kensington and Chelsea May 1977 |
| 4 May 1978 | The Royal Borough of Kingston upon Thames (Electoral Arrangements) Order 1977 | Report No. 216: Kingston-upon-Thames May 1977 |
| 4 May 1978 | The London Borough of Lambeth (Electoral Arrangements) Order 1977 | Report No. 257: Lambeth October 1977 |
| 4 May 1978 | The London Borough of Lewisham (Electoral Arrangements) Order 1977 | Report No. 203: Lewisham April 1977 |
| 4 May 1978 | The London Borough of Merton (Electoral Arrangements) Order 1977 | Report No. 247: Merton August 1977 |
| 4 May 1978 | The London Borough of Newham (Electoral Arrangements) Order 1977 | Report No. 192: Newham April 1977 |
| 4 May 1978 | The London Borough of Redbridge (Electoral Arrangements) Order 1977 | Report No. 213: Redbridge May 1977 |
| 4 May 1978 | The London Borough of Richmond upon Thames (Electoral Arrangements) Order 1977 | Report No. 212: Richmond-upon-Thames May 1977 |
| 4 May 1978 | The London Borough of Southwark (Electoral Arrangements) Order 1977 | Report No. 205: Southwark April 1977 |
| 4 May 1978 | The London Borough of Sutton (Electoral Arrangements) Order 1977 | Report No. 194: Sutton March 1977 |
| 4 May 1978 | The London Borough of Waltham Forest (Electoral Arrangements) Order 1977 | Report No. 235: Waltham Forest August 1977 |
| 4 May 1978 | The London Borough of Wandsworth (Electoral Arrangements) Order 1977 | Report No. 249: Wandsworth September 1977 |
| 4 May 1978 | The London Borough of Harrow (Electoral Arrangements) Order 1978 | Report No. 256: Harrow October 1977 |
| 4 May 1978 | The London Borough of Tower Hamlets (Electoral Arrangements) Order 1978 | Report No. 244: Tower Hamlets August 1977 |
| 4 May 1978 | The City of Westminster (Electoral Arrangements) Order 1978 | Report No. 225: Westminster July 1977 |
| 6 May 1982 | The London Borough of Enfield (Electoral Arrangements) Order 1980 | Report No. 255: Enfield September 1977 Report No. 285: Enfield Judgement February 1978 |
|  | The Inner London Education Area (Electoral Arrangements) Order 1988 [47] | Report No. 533: ILEA (Electoral Arrangements) March 1987 |
