# SGX-Listed Companies (Missing Core Listing Identifiers and Board Context)

| Company | Sector | Listed? | Remarks | Website |
| --- | --- | --- | --- | --- |
| Haw Par Corporation Limited | Consumer | Yes (SGX) | Legacy Singapore conglomerate | https://www.hawpar.com |
| Hai Leck Holdings Limited | Industrials | Yes (SGX) | Engineering services | https://www.haileck.com |
| Progen Holdings Limited | Industrials | Yes (SGX) | Oil & gas services | - |
| Kinergy Ltd | Industrials | Yes (SGX) | Marine/engineering | - |
| Eastern Holdings Ltd | Industrials | Yes (SGX) | Construction-related | - |
| Van Der Horst Energy Limited | Energy | Yes (SGX) | Energy services | - |
| Lantrovision (S) Ltd | Industrials | Yes (SGX) | Systems integration | - |
| K Plas Holdings Limited | Materials | Yes (SGX) | Plastics manufacturer | - |
| Plato Capital Limited | Financials | Yes (SGX) | Investment holding | - |
| Eagle Brand Holdings Limited | Industrials | Yes (SGX) | Trading/manufacturing | - |
