# Seattle, Washington City Salary Averages by Job   Annual Typical Pay

| Job | Typical Annual Pay (USD) |
| --- | ---: |
| Software Engineer | $128,900 |
| Senior Software Engineer | $164,500 |
| Product Manager | $145,300 |
| Data Scientist | $137,200 |
| Cloud Solutions Architect | $172,400 |
| Cybersecurity Analyst | $108,600 |
| Project Manager, Information Technology (IT) | $119,700 |
| Accountant | $74,900 |
| Executive Assistant | $61,200 |
| Graphic Designer | $67,400 |
| Registered Nurse (RN) | $92,800 |
| Operations Manager | $103,500 |
