# PIN Code Directory for Jaipur City (Rajasthan, India) — Localities and PINs

| Locality / Neighborhood | PIN Code | District | State |
| --- | --- | --- | --- |
| Ajmer Road | 302006 | Jaipur | Rajasthan |
| Bani Park | 302016 | Jaipur | Rajasthan |
| C-Scheme | 302001 | Jaipur | Rajasthan |
| Civil Lines | 302006 | Jaipur | Rajasthan |
| Durgapura | 302018 | Jaipur | Rajasthan |
| Jagatpura | 302017 | Jaipur | Rajasthan |
| Jhotwara | 302012 | Jaipur | Rajasthan |
| Malviya Nagar | 302017 | Jaipur | Rajasthan |
| Mansarovar | 302020 | Jaipur | Rajasthan |
| Shastri Nagar | 302016 | Jaipur | Rajasthan |
| Sanganer | 302029 | Jaipur | Rajasthan |
