# Super Smash Bros. Melee — Community Tier List (Illustrative) with Rank, Tier, and Score

| Rank | Character | Tier | Score (0–10) | Matchup Outlook |
|---:|---|:---:|---:|---|
| 1 | Fox | S | 9.9 | Top-tier speed, pressure, and punish ceiling |
| 2 | Falco | S | 9.6 | Laser control + strong combo routes |
| 3 | Marth | S | 9.4 | Range-based neutral, strong edgeguarding |
| 4 | Sheik | A+ | 9.1 | Reliable punish game and tech-chase pressure |
| 5 | Jigglypuff | A+ | 9.0 | Offstage dominance; high survivability |
| 6 | Captain Falcon | A | 8.6 | Explosive punish; volatile matchups |
| 7 | Peach | A | 8.5 | Defensive control, strong punish with float |
| 8 | Ice Climbers | A | 8.2 | Desync/Nana mechanics; matchup-dependent |
| 9 | Pikachu | B+ | 7.7 | Strong edgeguards; struggles vs top range |
| 10 | Samus | B | 7.1 | Zoning/defense; slower neutral |
| 11 | Dr. Mario | C+ | 6.4 | Limited mobility; high damage output |
| 12 | Bowser | D | 4.8 | Large hurtbox; disadvantaged neutral |
