# 2007 Alabama Crimson Tide football team
> Coaching staff

| Name | Position | Year at Alabama | Alma Mater (Year) |
| --- | --- | --- | --- |
| Nick Saban | Head Coach | 1st | Kent State (1973) |
| Burton Burns | Associate Head Coach Running Backs | 1st | Nebraska (1976) |
| Joe Pendry | Assistant Head Coach- Offense / Offensive Line | 1st | West Virginia (1969) |
| Kirby Smart | Assistant Head Coach- Defense / Secondary | 1st | Georgia (1999) |
| Major Applewhite | Offensive Coordinator / Quarterbacks | 1st | Texas (2002) |
| Kevin Steele | Defensive Coordinator/Inside Linebackers | 1st | Tennessee (1981) |
| Curt Cignetti | Receivers / Recruiting Coordinator | 1st | West Virginia (1983) |
| Ron Middleton | Tight Ends /Special Teams | 1st | Auburn (1985) |
| Bo Davis | Defensive Line | 1st | LSU (1993) |
| Lance Thompson | Outside Linebackers | 1st | The Citadel (1987) |
