# Top Video Game Console Emulators (Download Options, Platforms, and License)

| Emulator | Target Console | Host Platform(s) | Latest Version | License | Official Site |
| --- | --- | --- | --- | --- | --- |
| PCSX2 | PlayStation 2 | Windows / Linux / macOS | 1.7.x | GPL | pcsx2.net |
| RPCS3 | PlayStation 3 | Windows / Linux | 0.0.3x | GPL | rpcs3.net |
| Dolphin | GameCube / Wii | Windows / Linux / macOS | 5.0+ | GPL | dolphin-emu.org |
| PPSSPP | PlayStation Portable | Windows / Android / iOS | 1.16+ | GPL | ppsspp.org |
| Citra | Nintendo 3DS | Windows / Linux / macOS / Android | Nightly | GPL | citra-emu.org |
| melonDS | Nintendo DS | Windows / Linux / macOS | 0.9+ | GPL | melonds.kuribo64.net |
| mGBA | Game Boy Advance | Windows / Linux / macOS | 0.10+ | MPL 2.0 | mgba.io |
| MAME | Arcade | Windows / Linux / macOS | 0.2xx | GPL | mamedev.org |
| DeSmuME | Nintendo DS | Windows / macOS | 0.9.13 | GPL | desmume.org |
