# Most Subscribed YouTube Channels (Global) — Subscriber Counts and Rank Snapshot

| Rank | Channel | Subscribers (millions) | Notes |
|---:|---|---:|---|
| 1 | T-Series | 260.5 | Music label channel |
| 2 | MrBeast | 235.0 | Creator-led channel |
| 3 | Cocomelon - Nursery Rhymes | 175.2 | Kids content |
| 4 | SET India | 170.1 | TV network channel |
| 5 | Kids Diana Show | 120.4 | Kids content |
| 6 | Like Nastya | 114.8 | Kids content |
| 7 | PewDiePie | 111.6 | Gaming/entertainment |
| 8 | WWE | 103.9 | Sports entertainment |
| 9 | Zee Music Company | 102.7 | Music label channel |
| 10 | BLACKPINK | 92.3 | Music artist channel |
