# Busan & South Gyeongsang  local prefix mappings combined with province-level summary rows

| Prefix range/pattern | Place | Hangul | Notes |
|---|---|---|---|
| 46NN–462NN | Jung-gu, Busan | 부산 중구 | District within Busan |
| 463NN–465NN | Seo-gu, Busan | 부산 서구 | District within Busan |
| 466NN–468NN | Dong-gu, Busan | 부산 동구 | District within Busan |
| 469NN–471NN | Yeongdo-gu, Busan | 부산 영도구 | District within Busan |
| 472NN–474NN | Busanjin-gu, Busan | 부산 부산진구 | District within Busan |
| 475NN–476NN | Busan (metropolitan city total) | 부산광역시 | Metropolitan aggregate |
| 50–53 | South Gyeongsang Province (overall) | 경상남도 | Province-level summary |
| 52NN–523NN | Changwon-si, Gyeongnam | 창원시 | City within province |
| 524NN–525NN | Jinju-si, Gyeongnam | 진주시 | City within province |
