# Common Oxidation States of Transition Metals (Not Ion Charges)

| Atomic No. | Element | Typical Oxidation States | Notes |
|---:|---|---|---|
| 26 | Iron (Fe) | +2, +3 | variable in compounds |
| 27 | Cobalt (Co) | +2, +3 | coordination complexes common |
| 28 | Nickel (Ni) | +2, +3 | +2 most common |
| 29 | Copper (Cu) | +1, +2 | +2 dominant |
| 30 | Zinc (Zn) | +2 | generally fixed |
| 47 | Silver (Ag) | +1, +2 | higher states uncommon |
| 79 | Gold (Au) | +1, +3 | +2 rare |
| 78 | Platinum (Pt) | +2, +4, +6 | catalytic chemistry |
| 46 | Palladium (Pd) | +2, +4 | +2 common |
| 24 | Chromium (Cr) | +2, +3, +6 | strong oxidizer at +6 |
