# A–Z LGBT Characters in Television (Letter R  Mixed List with One Trans Entry)

| Character | TV Show | Listed As | Category | Notes |
| --- | --- | --- | --- | --- |
| Rachel Berry | Glee | Bisexual (rumored) | Orientation | Not a gender-diverse entry |
| Raymond Holt | Brooklyn Nine-Nine | Gay | Orientation | Police captain |
| Robin Scherbatsky | How I Met Your Mother | Straight | Orientation | Included due to relationship arc rumors |
| Rupaul (as self) | RuPaul's Drag Race | Drag performer | Performance | Not necessarily transgender |
| Reneé Rapp (as self) | The Sex Lives of College Girls | Lesbian | Orientation | Actor self-reference |
| Rex "Rae" (fictional) | Indie Pilot (fictional) | Transgender man | Gender identity | Single trans entry |
| Rita Farr | Doom Patrol | Bisexual | Orientation | Orientation-only entry |
| Ross Geller | Friends | Straight | Orientation | Included for comedic episode |
| Ritchie Tozier | It (miniseries) | Gay | Orientation | Orientation-only entry |
