# National Football League Rookie of the Year Award
> Sporting News NFL ROTY Award

| Season | Player | Team | Position |
| --- | --- | --- | --- |
| 1970 | Shaw, Dennis Dennis Shaw | Buffalo Bills | Quarterback |
| 1971 | Plunkett, Jim Jim Plunkett | New England Patriots | Quarterback |
| 1972 | Harris, Franco Franco Harris | Pittsburgh Steelers | Fullback |
| 1973 | Clark, Boobie Boobie Clark | Cincinnati Bengals | Fullback |
| 1974 | Woods, Don Don Woods | San Diego Chargers | Halfback |
| 1975 | Brazile, Robert Robert Brazile | Houston Oilers | Linebacker |
| 1976 | Haynes, Mike Mike Haynes | New England Patriots | Cornerback |
| 1977 | Duhe, A.J. A.J. Duhe | Miami Dolphins | Defensive end |
| 1978 | Campbell, Earl Earl Campbell [26] | Houston Oilers | Running back |
| 1979 | Butler, Jerry Jerry Butler | Buffalo Bills | Wide receiver |
