# Frankish Early French Rulers and Regents  Kings, Emperors, Queens, and Guardians

| Name | Status | Realm | Years active | Connection to monarchy |
| --- | --- | --- | --- | --- |
| Pepin the Short | King | Franks | 751–768 | Carolingian monarch |
| Bertrada of Laon | Queen consort | Franks | 751–768 | Mother of Charlemagne |
| Charlemagne | King/Emperor | Franks/Empire | 768–814 | Emperor from 800 |
| Hildegard | Queen consort | Franks | 771–783 | Consort, not sovereign monarch |
| Louis the Pious | Emperor | Empire | 814–840 | Carolingian monarch |
| Charles the Bald | King | West Francia | 843–877 | Carolingian monarch |
| Oda of Francia | Queen consort | West Francia | c. 888–898 | Wife of a king |
| Charles the Simple | King | West Francia | 898–922 | Carolingian monarch |
| Emma of France | Queen consort | West Francia | 921–934 | Consort; political influence |
