# Grand Slam Singles Titles Leaders (Chronological Mixed List)

| Era | Player | Tour | Grand Slam Singles Titles |
|---|---|---|---:|
| 1960s | Margaret Court | WTA | 24 |
| 1960s | Rod Laver | ATP | 11 |
| 1970s | Billie Jean King | WTA | 12 |
| 1970s | Björn Borg | ATP | 11 |
| 1980s | Martina Navratilova | WTA | 18 |
| 1980s | Ivan Lendl | ATP | 8 |
| 1990s | Pete Sampras | ATP | 14 |
| 1990s | Steffi Graf | WTA | 22 |
| 2000s | Roger Federer | ATP | 20 |
| 2000s | Justine Henin | WTA | 7 |
| 2010s | Serena Williams | WTA | 23 |
| 2010s | Rafael Nadal | ATP | 22 |
| 2020s | Novak Djokovic | ATP | 24 |
