# RuPaul's Drag Race — Queens Who Returned in Later Main-Series Seasons (Not All Stars)

| Queen | Original season | Later season(s) returned | Form of return | Notes / how the table signals a return |
|---|---|---|---|---|
| Cynthia Lee Fontaine | Season 8 | Season 9 | Returned contestant (new casting) | Listed as competing again after a prior season |
| Eureka O'Hara | Season 9 | Season 10 | Returned contestant (new casting) | Returned the next year after leaving in Season 9 |
| Vanessa Vanjie Mateo | Season 9 | Season 10 | Returned contestant (new casting) | Reappeared as a contestant in a later season |
| Shangela | Season 2 | Season 3 | Returned contestant (new casting) | Competed again in a later numbered season |
| Carmen Carrera | Season 3 | Season 3 (same-season re-entry) | Re-entered after elimination | Explicit same-season comeback noted as a return |
| Kenya Michaels | Season 4 | Season 4 (same-season re-entry) | Re-entered after elimination | Explicit comeback after elimination |
| Trixie Mattel | Season 7 | Season 7 (same-season re-entry) | Re-entered after elimination | Returned to competition mid-season |
| BenDeLaCreme | Season 6 | Season 6 (same-season re-entry) | Re-entered after elimination | Returned to competition mid-season |
| Naysha Lopez | Season 8 | Season 8 (same-season re-entry) | Re-entered after elimination | Came back after being eliminated |
| Kelly Mantle | Season 6 | Season 6 (special return episode) | Returned to participate (non-competitive segment) | Marked as a return appearance even if not a full re-entry |
