# Books of the Bible and Common Personal Names Appearing in Each

| Bible Book | Notable Names Mentioned | Testament | Approx. Time Period |
| --- | --- | --- | --- |
| Genesis | Adam, Eve, Noah, Abraham, Sarah | Old | Patriarchal |
| Exodus | Moses, Aaron, Miriam, Pharaoh | Old | Mosaic |
| Ruth | Ruth, Naomi, Boaz | Old | Judges-era |
| 1 Samuel | Samuel, Saul, David, Hannah | Old | United monarchy |
| Esther | Esther, Mordecai, Ahasuerus | Old | Persian period |
| Matthew | Jesus, Mary, Joseph, Herod | New | Gospel era |
| Acts | Peter, Paul, Barnabas, Silas | New | Early church |
| Romans | Paul, Phoebe | New | Epistle era |
| Revelation | John | New | Apocalyptic |
| Psalms | David, Asaph | Old | Worship poetry |
