# Bible-Associated Given Names  Cross-Tradition Forms (Hebrew   Greek   Latin) with Meanings

| Given Name (Modern) | Gender | Primary Biblical Form | Language Origin | Meaning / Etymology | Common Variants |
|---|---|---|---|---|---|
| Mary | Girl | Miriam | Hebrew (via Greek/Latin) | Uncertain; often glossed as “beloved” or “bitterness” (debated) | Maria, Miriam |
| John | Boy | Yohanan | Hebrew (via Greek/Latin) | “YHWH is gracious” | Jonathan (related root), Johannes |
| James | Boy | Ya‘aqov (Jacob) | Hebrew (via Greek/Latin) | From Jacob; traditional sense “supplanter/heel” | Jacob, Jaime, Jacques |
| Matthew | Boy | Mattityahu | Hebrew (via Greek) | “Gift of YHWH” | Matthias (related), Mateo |
| Peter | Boy | Petros / Kepha | Greek / Aramaic | “Rock” / “stone” | Pete, Pietro |
| Paul | Boy | Paulus | Latin | “Small” / “humble” | Paulo, Pavel |
| Rebecca | Girl | Rivqah | Hebrew | Often glossed as “to bind/tie” (traditional) | Rebekah |
| Rachel | Girl | Rahel | Hebrew | “Ewe” | Rachael |
| Leah | Girl | Le’ah | Hebrew | Commonly glossed as “weary” (etymology debated) | Lia |
| Simon | Boy | Shim‘on | Hebrew (via Greek) | “He has heard” | Simeon, Simone |
| Stephen | Boy | Stephanos | Greek | “Crown” / “garland” | Steven, Esteban |
| Andrew | Boy | Andreas | Greek | “Manly” / “brave” | Andre, Anders |
| Philip | Boy | Philippos | Greek | “Lover of horses” | Felipe |
| Lydia | Girl | Greek | “From Lydia” (a region) | Place-name used as given name in NT | Lidia |
| Timothy | Boy | Timotheos | Greek | “Honoring God” | Tim, Timo |
