# Netflix 4K Titles — Clean Verification List with Basic Metadata (Movies & Series)

| Title Name | Title Type | Release Date (Month-Year) | Netflix Label | Content Category |
| --- | --- | --- | --- | --- |
| 6 Underground | Movie | Dec-19 | Netflix Original | Action |
| Red Notice | Movie | Nov-21 | Netflix Original | Action/Comedy |
| The Gray Man | Movie | Jul-22 | Netflix Original | Thriller |
| Glass Onion: A Knives Out Mystery | Movie | Dec-22 | Netflix Film | Mystery |
| Money Heist (La Casa de Papel) | TV Series | May-17 | Licensed/Original (later seasons) | Crime |
| Lupin | TV Series | Jan-21 | Netflix Original | Crime/Drama |
| Dark | TV Series | Dec-17 | Netflix Original | Sci-Fi |
| Lost in Space | TV Series | Apr-18 | Netflix Original | Sci-Fi/Adventure |
| Arcane | Animated Series | Nov-21 | Netflix Original | Animation |
| Tiger King | Documentary Series | Mar-20 | Netflix Doc | Documentary |
