# Pune City (Maharashtra) — Localities and Address References (Without PIN Codes)

| Zone | Locality / Neighborhood | State | Nearby Landmark / PO | Notes |
| --- | --- | --- | --- | --- |
| Central Pune | Bajirao Road | Maharashtra | Shaniwar Wada | Commercial corridor |
| Central Pune | Shivajinagar | Maharashtra | Pune Railway Station | Major transit hub |
| Central Pune | Deccan Gymkhana | Maharashtra | Fergusson College | Popular residential + shopping |
| East Pune | Kalyani Nagar | Maharashtra | Aga Khan Palace | Upscale neighborhood |
| East Pune | Viman Nagar | Maharashtra | Pune Airport | Near IT parks |
| South Pune | Katraj | Maharashtra | Bharati Vidyapeeth | Southern gateway |
| West Pune | Baner | Maharashtra | Balewadi Stadium | Rapidly developing |
| West Pune | Hinjewadi | Maharashtra | Rajiv Gandhi Infotech Park | IT cluster |
| North Pune | Bhosari | Maharashtra | MIDC Bhosari | Industrial area |
