# Failure to Appear (Sentencing) — Offense-Level Penalty Table Without States

| Underlying offense severity | Failure-to-appear context | Maximum additional prison term | Typical charge label | Notes |
|---|---|---:|---|---|
| Capital/life-eligible offense | FTA for sentencing | 10 years | Felony | Treated most severely |
| 15+ year felony | FTA for sentencing | 10 years | Felony | Mirrors high-severity tiers |
| 5+ year felony | FTA for sentencing | 5 years | Felony | Often consecutive |
| Any other felony | FTA for sentencing | 2 years | Felony | May include bail forfeiture |
| High misdemeanor | FTA for sentencing | 1 year | Misdemeanor | Court discretion varies |
| Low misdemeanor/infraction | FTA for sentencing | Days to months | Misdemeanor/infraction | Often resolved with fine |
| Pretrial release violation | FTA for hearing | Varies | Contempt/FTA | Can trigger warrant |
| Supervision violation | Failure to report | Varies | Violation | Not always a new felony |
| Conditional discharge | Missed compliance date | Varies | Violation | Can reinstate original sentence |
| Bond condition breach | Nonappearance | Varies | Civil/Criminal | Depends on jurisdiction |
