# Spine MRI CPT Codes by Scanner Time, Sedation, and Add-on Services

| Spine MRI Item | CPT Code | Typical Scan Time (min) | Sedation/Anesthesia Code (if billed) | Add-on / Related Service |
| --- | --- | --- | --- | --- |
| Cervical spine MRI without contrast | 72141 | 20-30 | 99152 | IV start/monitoring |
| Cervical spine MRI with contrast | 72142 | 30-40 | 99153 | Contrast administration |
| Thoracic spine MRI without contrast | 72146 | 25-35 | 99152 | Positioning assistance |
| Thoracic spine MRI w/wo contrast | 72157 | 40-55 | 99153 | Post-processing |
| Lumbar spine MRI without contrast | 72148 | 20-30 | 99152 | Image archiving |
| Lumbar spine MRI with contrast | 72149 | 30-45 | 99153 | Contrast injection |
| Lumbar spine MRI w/wo contrast | 72158 | 40-55 | 99153 | Additional sequences |
| Sacrum/coccyx MRI without contrast | 72195 | 20-35 | 99152 | Tech time |
| Spine MRI with anesthesia (facility practice) | (varies) | 60-90 | 00840 | Recovery room |
| Contrast material (example supply) | A9577 | N/A | N/A | HCPCS supply line |
