# State Seat Belt Laws (Selected States) — Coverage, Seating Position, and Fine Schedule

| State | Covered Ages | Seating Position | Maximum Fine (1st Offense) | Notable Notes |
|---|---|---|---:|---|
| Alabama | 15+ | Front seats | $25 | Citation issued to driver |
| Alaska | 16+ | All seats | $15 | Exemptions vary by vehicle type |
| Arizona | 8+ | Front seats | $10 | Local ordinances may add fees |
| Arkansas | All ages | Front seats | $25 | Applies on public roadways |
| Colorado | 16+ | Front seats | $65 | Reduced fine possible with proof of compliance |
| Connecticut | 16+ | All seats | $92 | Higher penalties for repeat offenses |
| Delaware | 16+ | Front seats | $25 | Passenger rules differ for minors |
| Florida | 6+ | Front seats | $30 | Child restraint rules separate |
| Georgia | 8+ | Front seats | $15 | Commercial vehicles may be exempt |
| Hawaii | 8+ | All seats | $45 | Different rule set for child safety seats |
