# Minecraft Prison Servers Directory (IP Domain List)

| Rank | Server Name | Category | Notable Feature | Join Address |
|---:|---|---|---|---|
| 1 | CellBlockX | Prison | OP Mines | play.cellblockx.net |
| 2 | QuarryCraft | Prison | Auto-Sell | quarrycraft.net:25565 |
| 3 | BlockSentence | Prison | Rankup Rewards | mc.blocksentence.com |
| 4 | MineJail | Prison | Custom Pickaxes | play.mjail.org |
| 5 | GranitePrison | Prison | Token Shop | graniteprison.net |
| 6 | NeoPrison | Prison | Enchant Crates | join.neoprison.net:25570 |
| 7 | YardTime | Prison | Gang Cells | yardtime.gg |
| 8 | IronBars | Prison | Daily Tasks | play.ironbars.net |
| 9 | WardenMC | Prison | Cells + PvP Yard | wardenmc.net |
| 10 | LuckyBlocks Prison | Prison | LuckyBlock Mines | luckyprison.org |
| 11 | SunsetPrison | Prison | Seasonal Resets | sunsetprison.net:25565 |
| 12 | MetroPrison | Prison | City-Themed Mines | metroprison.net |
| 13 | CloudPrison | Prison | Prestige System | play.cloudprison.com |
| 14 | ApexPrison | Prison | Pets | apexprison.gg |
| 15 | RedwoodPrison | Prison | Player Shops | redwoodprison.net |
| 16 | TitanPrison | Prison | OP Gear | titanprison.org:25565 |
| 17 | BrickPrison | Prison | Kits | brickprison.net |
| 18 | CrystalPrison | Prison | Gem Currency | crystalprison.net |
| 19 | LockdownMC | Prison | Guard Events | lockdownmc.net |
| 20 | LavaPrison | Prison | Volcano Mines | lavaprison.net |
