# GOP Primary Polls — Pollster Ratings & Methodology (Results Omitted)

| Contest | Pollster | Rating | Historical Error (MAE) | House Effect | Mode | Notes |
|---|---|---|---|---|---|---|
| 2016 Republican Presidential Nomination | Monmouth | A | 2.6 | R+0.4 | Phone | Strong track record |
| New York Republican Presidential Primary | FOX News | A- | 2.9 | R+0.2 | Phone | Large samples typical |
| Pennsylvania Republican Presidential Primary | PPP (D) | B | 3.6 | D+0.7 | IVR | Partisan sponsor |
| Indiana Republican Presidential Primary | WTHR/Howey | B+ | 3.1 | R+0.1 | Mixed | State-focused |
| Maryland Republican Presidential Primary | Marist | A | 2.7 | D+0.1 | Phone | Often accurate |
| California Republican Presidential Primary | USC/LA Times | B+ | 3.2 | R+0.3 | Online | Panel methodology |
| West Virginia Republican Presidential Primary | MetroNews | B | 3.8 | R+0.5 | Phone | Local outlet |
| Connecticut Republican Presidential Primary | Quinnipiac | A- | 2.8 | D+0.0 | Phone | Frequent statewide polling |
| New Jersey Republican Presidential Primary | Rutgers-Eagleton | B+ | 3.3 | D+0.2 | Phone | Academic sponsor |
| Wisconsin Republican Presidential Primary | Marquette | A | 2.5 | D+0.1 | Phone | High-quality state polling |
