# Gatwick Airport
> Airlines and destinations

| Airlines | Destinations | Terminal |
| --- | --- | --- |
| Adria Airways | Seasonal: Ljubljana | North |
| Aegean Airlines | Athens Seasonal: Heraklion Seasonal charter: Kalamata | South |
| Aer Lingus | Dublin , Knock Seasonal charter: Geneva , Grenoble (begins 18 December 2016), Lyon | South |
| Aeroflot | Moscow-Sheremetyevo (begins 15 November 2016) [96] | TBA |
| Air Arabia Maroc | Casablanca , Tangier | South |
| airBaltic | Riga | South |
| Air Canada Rouge | Seasonal: Toronto–Pearson , Vancouver | North |
| Air Europa | Madrid | South |
| Air Malta | Malta | South |
| Air Transat | Toronto–Pearson Seasonal: Calgary , Montréal–Trudeau , Vancouver | South |
| AlbaStar | Seasonal charter: Palma de Mallorca | North |
| Aurigny | Guernsey | South |
| Austrian Airlines | Seasonal: Innsbruck (begins 7 January 2017) [97] | South |
| Belavia | Minsk–National | South |
| BH Air | Seasonal: Burgas Seasonal charter: Sofia , Varna | South |
| British Airways | Algiers , Alicante , Amsterdam , Antigua , Barbados , Barcelona , Bermuda , Bordeaux , Cancún , Dubrovnik , Edinburgh , Faro , Fuerteventura , Funchal , Genoa , Glasgow , Grenada , Jersey , Kingston–Norman Manley , Lanzarote , Lima , Málaga , Malta , Marrakech , Mauritius , Naples , New York–JFK , Nice , Orlando–International , Port of Spain , Porto , Providenciales , Punta Cana , Rome–Fiumicino , Saint Kitts , St. Lucia , Salzburg , San José de Costa Rica , Seville , Tampa , Tenerife–South , Tirana , Tobago , Turin , Valencia , Venice , Verona , Vienna Seasonal: Bari , Bodrum , Cagliari , Cape Town (begins 24 November 2016), [98] Catania , Dalaman , Friedrichshafen , Geneva , Grenoble , Heraklion , Ibiza , Innsbruck , Larnaca , Malé , Paphos , Pisa , Rhodes , Thessaloniki | North 1 |
| Cathay Pacific | Hong Kong | South |
| Croatia Airlines | Seasonal: Split | South |
