# Missouri Climate Overview by Month (Temperature and Precipitation)

| Month | Avg Temperature (°F) | Avg Low (°F) | Avg High (°F) | Avg Precipitation (in) |
| --- | --- | --- | --- | --- |
| Jan | 29.8 | 20.1 | 39.5 | 2.1 |
| Feb | 33.8 | 23.3 | 44.3 | 2.0 |
| Mar | 43.5 | 32.1 | 54.9 | 3.3 |
| Apr | 54.6 | 42.1 | 67.1 | 4.0 |
| May | 64.2 | 52.0 | 76.4 | 4.9 |
| Jun | 72.7 | 61.5 | 83.9 | 4.3 |
| Jul | 77.6 | 66.0 | 89.2 | 4.1 |
| Aug | 76.2 | 64.2 | 88.2 | 3.7 |
| Sep | 68.3 | 56.0 | 80.6 | 3.5 |
| Oct | 56.5 | 44.0 | 69.0 | 3.2 |
| Nov | 44.1 | 33.0 | 55.2 | 3.0 |
| Dec | 33.0 | 23.0 | 43.0 | 2.6 |
