# Hamburg Ravensbrück trials
> First trial

| # | Defendant | Function, Title | Sentence |
| --- | --- | --- | --- |
| 1 | Johann Schwarzhuber ( de ) | Deputy camp leader | Death, executed on May 3, 1947 |
| 2 | Gustav Binder (SS-Mitglied) ( de ) | Warden | Death, executed on May 3, 1947 |
| 3 | Heinrich Peters | Warden | 15 years imprisonment; released May 18, 1955 |
| 4 | Ludwig Ramdohr ( de ) | Gestapo inspector | Death, executed on May 3, 1947 |
| 5 | Martin Hellinger ( de ) | Medical doctor | 15 years imprisonment; released May 14, 1955 |
| 6 | Rolf Rosenthal ( de ) | Medical doctor | Death, executed on May 3, 1947 |
| 7 | Gerhard Schiedlausky | Medical doctor | Death, executed on May 3, 1947 |
| 8 | Percival Treite ( de ) | Medical doctor | Death; committed suicide on April 8, 1947 before the sentence could be carried out |
| 9 | Adolf Winkelmann (Arzt) ( de ) | Medical doctor | Died during the trial on February 1, 1947 |
| 10 | Dorothea Binz | Assistant Chief warden ( Oberaufseherin ) | Death; executed May 2, 1947 |
| 11 | Greta Bösel | Labor Department Head ( Aufseherin ) | Death; executed May 3, 1947 |
| 12 | Margarete Mewes | Jail Warden | 10 years imprisonment; released February 26, 1952 |
| 13 | Elisabeth Marschall | Nurse | Death; executed May 3, 1947 |
| 14 | Carmen Mory | Inmate; Kapo | Death; committed suicide on April 9, 1947 before the sentence could be carried out |
| 15 | Vera Salvequart | Inmate; Kapo | Death; executed on June 2, 1947 |
| 16 | Eugenia von Skene | Inmate; Kapo | 10 years imprisonment, released December 21, 1951 |
