# Meal-Prep Plan  Cooked Leftovers by Day (Fridge Focus, Freezer Mentioned in Notes)

| Dish (cooked) | Day 1 | Day 3 | Day 5 | Day 7 | Notes |
|---|---|---|---|---|---|
| Roast chicken | Best quality | Safe if chilled properly | Usually discard after day 4 | Not recommended | Freeze portions on day 1–2 if not eating |
| Cooked chili | Best quality | Great | Borderline after day 4 | Not recommended | Freezes well; portion before freezing |
| Cooked rice bowls | Best quality | OK | Usually discard after day 4 | Not recommended | Freeze rice separately for best results |
| Pasta with tomato sauce | Best quality | Good | Often OK | Not recommended | Freezer ok, but texture softens |
| Creamy casserole | Best quality | Good | Usually discard after day 4 | Not recommended | Cream sauces may separate when frozen |
| Baked salmon | Best quality | OK | Usually discard after day 4 | Not recommended | Freezing possible but flavor changes |
| Vegetable soup | Best quality | Great | Often OK | Not recommended | Freeze flat in bags to save space |
| Stir-fried veggies | Best quality | OK | Often tired | Not recommended | Freezing not ideal for crisp veggies |
| Meatloaf slices | Best quality | Great | Often OK | Not recommended | Freeze wrapped slices |
| Cooked beans | Best quality | Great | Often OK | Not recommended | Freeze with cooking liquid |
