# 1998 NBA draft
> Notable undrafted players

| Player | Position | Nationality | School/Club team |
| --- | --- | --- | --- |
| Boykins, Earl Earl Boykins | PG | United States | Eastern Michigan (Sr.) |
| Brown, Gerald Gerald Brown | SG | United States | Pepperdine (Sr.) |
| Carter, Anthony Anthony Carter | PG | United States | Hawaii (Sr.) |
| Goodrich, Steve Steve Goodrich | PF/C | United States | Princeton (Sr.) |
| James, Mike Mike James | PG | United States | Duquesne (Sr.) |
| Jasikevičius, Šarūnas Šarūnas Jasikevičius | PG | Lithuania | Maryland (Sr.) |
| Jones, Charles Charles Jones | SG | United States | LIU Brooklyn (Sr.) |
| Jones, Mark Mark Jones | SF | United States | UCF (Sr.) |
| McCarty, Kelly Kelly McCarty | SG | United States | Southern Miss (Sr.) |
| Medvedenko, Slava Slava Medvedenko [2] | PF | Ukraine | Budivelnyk Kiev ( Ukraine ) (born 1979) |
| Miller, Brad Brad Miller + | C | United States | Purdue (Sr.) |
| Nesby, Tyrone Tyrone Nesby | SF | United States | UNLV (Sr.) |
| Santiago, Daniel Daniel Santiago | C | United States/ Puerto Rico | Saint Vincent (Sr.) |
