# Metric Thread Pitch Series Reference (Coarse Fine) — ISO Metric Bolts

| Nominal Thread | Coarse Pitch (mm) | Fine Pitch 1 (mm) | Fine Pitch 2 (mm) | Typical Use Notes |
| --- | ---: | ---: | ---: | --- |
| M6 | 1.0 | 0.75 | 0.5 | General fastening; fine for thin walls |
| M8 | 1.25 | 1.0 | 0.75 | Fine for vibration resistance |
| M10 | 1.5 | 1.25 | 1.0 | Fine for adjustment screws |
| M12 | 1.75 | 1.5 | 1.25 | Common automotive sizes |
| M14 | 2.0 | 1.5 | 1.25 | Fine for higher clamp load |
| M16 | 2.0 | 1.5 | 1.0 | Fine used in hydraulic fittings |
| M18 | 2.5 | 2.0 | 1.5 | Coarse for general structures |
| M20 | 2.5 | 2.0 | 1.5 | Fine for precision assemblies |
| M22 | 2.5 | 2.0 | 1.5 | Heavy equipment |
| M24 | 3.0 | 2.0 | 1.5 | Large fasteners |
| M27 | 3.0 | 2.0 | 1.5 | Large fasteners |
| M30 | 3.5 | 2.0 | 1.5 | Large fasteners |
| M36 | 4.0 | 3.0 | 2.0 | Structural bolting |
| M42 | 4.5 | 3.0 | 2.0 | Structural bolting |
| M48 | 5.0 | 3.0 | 2.0 | Structural bolting |
