# National Football League Rookie of the Year Award
> Sporting News NFL ROTY Award

| Season | Player | Team | Position |
| --- | --- | --- | --- |
| 1980 | Sims, Billy Billy Sims | Detroit Lions | Running back |
| 1981 | Rogers, George George Rogers | New Orleans Saints | Running back |
| 1982 | Allen, Marcus Marcus Allen | Los Angeles Raiders | Running back |
| 1983 | Marino, Dan Dan Marino | Miami Dolphins | Quarterback |
| 1984 | Lipps, Louis Louis Lipps | Pittsburgh Steelers | Wide receiver |
| 1985 | Brown, Eddie Eddie Brown | Cincinnati Bengals | Wide receiver |
| 1986 | Mayes, Reuben Reuben Mayes | New Orleans Saints | Running back |
| 1987 | Awalt, Robert Robert Awalt | St. Louis Cardinals | Tight end |
| 1988 | Jackson, Keith Keith Jackson | Philadelphia Eagles | Tight end |
| 1989 | Sanders, Barry Barry Sanders [30] | Detroit Lions | Running back |
| 1990 | Webb, Richmond Richmond Webb | Miami Dolphins | Offensive tackle |
| 1991 | Croel, Mike Mike Croel | Denver Broncos | Linebacker |
| 1992 | Dotson, Santana Santana Dotson | Tampa Bay Buccaneers | Defensive tackle |
| 1993 | Bettis, Jerome Jerome Bettis | Los Angeles Rams | Running back |
| 1994 | Faulk, Marshall Marshall Faulk [31] | Indianapolis Colts | Running back |
| 1995 | Martin, Curtis Curtis Martin [32] | New England Patriots | Running back |
| 1996 | George, Eddie Eddie George [33] | Houston Oilers | Running back |
| 1997 | Dunn, Warrick Warrick Dunn [34] | Tampa Bay Buccaneers | Running back |
| 1998 | Moss, Randy Randy Moss | Minnesota Vikings | Wide receiver |
| 1999 | James, Edgerrin Edgerrin James [35] | Indianapolis Colts | Running back |
| 2000 | Urlacher, Brian Brian Urlacher [36] | Chicago Bears | Linebacker |
| 2001 | Bell, Kendrell Kendrell Bell | Pittsburgh Steelers | Linebacker |
| 2002 | Portis, Clinton Clinton Portis [37] | Denver Broncos | Running back |
| 2003 | Boldin, Anquan Anquan Boldin | Arizona Cardinals | Wide receiver |
| 2004 | Roethlisberger, Ben Ben Roethlisberger | Pittsburgh Steelers | Quarterback |
| 2005 | Merriman, Shawne Shawne Merriman | San Diego Chargers | Linebacker |
| 2006 | Young, Vince Vince Young | Tennessee Titans | Quarterback |
| 2007 | Peterson, Adrian Adrian Peterson | Minnesota Vikings | Running back |
| 2008 | Ryan, Matt Matt Ryan | Atlanta Falcons | Quarterback |
| 2009 | Harvin, Percy Percy Harvin | Minnesota Vikings | Wide receiver |
| 2010 | Suh, Ndamukong Ndamukong Suh [20] | Detroit Lions | Defensive tackle |
| 2011 | Newton, Cam Cam Newton [21] | Carolina Panthers | Quarterback |
| 2012 | Griffin III, Robert Robert Griffin III [22] | Washington Redskins | Quarterback |
| 2013 | Lacy, Eddie Eddie Lacy [38] | Green Bay Packers | Running back |
| 2014 | Beckham Jr., Odell Odell Beckham Jr. [39] | New York Giants | Wide receiver |
