# SVU Episode  Closet  (2008) — Cast List + Appearance Counts

| Actor | Character | This Episode Role Type | Total Appearances (approx.) |
| --- | --- | --- | --- |
| Christopher Meloni | Det. Elliot Stabler | Main | 270+ |
| Mariska Hargitay | Det. Olivia Benson | Main | 500+ |
| Richard Belzer | Det. John Munch | Main | 150+ |
| Diane Neal | ADA Casey Novak | Main | 80+ |
| Tamara Tunie | Dr. Melinda Warner | Recurring | 100+ |
| Ice-T | Det. Odafin Tutuola | Main | 300+ |
| Dann Florek | Capt. Donald Cragen | Main | 300+ |
| Guest Actor A | Guest Character A | Guest | 1 |
| Guest Actor B | Guest Character B | Guest | 2 |
