# Bible Book Mapping Across Versions with Canon Notes and Deuterocanon Flags

| Section | KJV Book | Vulgate Book | Douay–Rheims Book | Status/Notes |
|---|---|---|---|---|
| Pentateuch | Genesis | Genesis | Genesis | Same title across versions |
| Pentateuch | Exodus | Exodus | Exodus | Same title across versions |
| Pentateuch | Leviticus | Leviticus | Leviticus | Same title across versions |
| Pentateuch | Numbers | Numeri | Numbers | Latin name differs |
| Pentateuch | Deuteronomy | Deuteronomium | Deuteronomy | Same title across versions |
| History | Joshua | Iosue | Josue | Spelling differs; in some traditions follows Deuteronomy |
| History | Judges | Iudicum | Judges | Latin plural form |
| History | Ruth | Ruth | Ruth | Same title |
| Deuterocanon | (none) | Tobias | Tobias | Deuterocanonical in Catholic canons; absent in many Protestant editions |
| Deuterocanon | (none) | Iudith | Judith | Deuterocanonical; placement may vary |
| Appendices | — | — | — | Note: Some editions also include 1–2 Maccabees and additions to Daniel/Esther |
