# Blood Group Frequencies by Ethnic Social Group (Selected Populations)

| Population Group | Region/Context | O (%) | A (%) | B (%) | AB (%) | Source Note |
| --- | --- | --- | --- | --- | --- | --- |
| Han Chinese (urban sample) | East Asia | 34 | 28 | 29 | 9 | Convenience sample |
| Punjabi (community survey) | South Asia | 30 | 22 | 39 | 9 | Regional study |
| Yoruba | West Africa | 52 | 21 | 23 | 4 | Local donor registry |
| Ashkenazi Jewish | Europe/NA diaspora | 45 | 36 | 14 | 5 | Aggregated reports |
| Quechua | Andes | 79 | 17 | 3 | 1 | Small cohort |
| Bedouin | Middle East | 37 | 28 | 28 | 7 | Field survey |
| Afro-Caribbean | Caribbean/UK | 56 | 23 | 17 | 4 | Blood service stats |
| Roma | Europe | 41 | 33 | 20 | 6 | Meta-estimate |
| Indigenous Australian (remote) | Oceania | 63 | 23 | 11 | 3 | Community screening |
