# Biographical career timeline of pre-Washington presiding figures (role history emphasized)

| Name | Associated state | Early career role | Wartime role | Presiding role (pre-Washington) | Later role |
|---|---|---|---|---|---|
| Peyton Randolph | Virginia | Colonial attorney | Virginia political leader | President of the Continental Congress | Colonial official |
| Henry Middleton | South Carolina | Planter & politician | Provincial leadership | President of the Continental Congress | State political figure |
| John Hancock | Massachusetts | Merchant | Patriot organizer | President of the Continental Congress | Governor of Massachusetts |
| Henry Laurens | South Carolina | Merchant | Diplomatic involvement | President of the Continental Congress | Diplomat |
| John Jay | New York | Lawyer | Diplomat | President of the Continental Congress | Chief Justice of the United States |
| Samuel Huntington | Connecticut | Judge | Revolutionary leader | President of the Continental Congress | Governor of Connecticut |
| Thomas McKean | Delaware | Lawyer | State judiciary | President of the Continental Congress | Governor of Pennsylvania |
| John Hanson | Maryland | State legislator | Continental delegate | President of the Continental Congress | Public administrator |
| Elias Boudinot | New Jersey | Lawyer | Continental delegate | President of the Continental Congress | Director of the U.S. Mint |
| Richard Henry Lee | Virginia | Legislator | Continental delegate | President of the Continental Congress | U.S. Senator |
