# List of Chinese administrative divisions by GDP
> Appendix

| Year | TW$ | Nominal (US$) | PPP (Int'l.$) |
| --- | --- | --- | --- |
| 2014 | 16,081,800 | 529,550 | 1,074,530 |
| 2013 | 15,221,200 | 511,280 | 1,020,910 |
| 2012 | 14,686,920 | 495,919 | 983,953 |
| 2011 | 14,312,200 | 485,671 | 947,053 |
| 2010 | 14,119,210 | 446,141 | 893,890 |
| 2009 | 12,961,660 | 392,106 | 798,240 |
| 2008 | 13,150,950 | 417,038 | 804,832 |
| 2007 | 13,407,060 | 408,221 | 783,829 |
| 2006 | 12,640,800 | 388,547 | 716,799 |
| 2005 | 12,092,250 | 375,787 | 658,405 |
| 2004 | 11,649,650 | 348,521 | 605,111 |
| 2003 | 10,965,870 | 318,597 | 552,941 |
| 2002 | 10,680,880 | 308,884 | 520,677 |
| 2001 | 10,158,210 | 300,422 | 485,727 |
| 2000 | 10,351,260 | 331,408 | 480,963 |
| 1999 | 9,815,600 | 304,174 | 441,892 |
| 1998 | 9,381,140 | 280,406 | 407,837 |
| 1997 | 8,717,240 | 303,706 | 387,156 |
| 1996 | 8,036,590 | 292,687 | 358,710 |
| 1995 | 7,396,650 | 279,270 | 331,792 |
| 1994 | 6,784,440 | 256,438 | 305,173 |
| 1993 | 6,205,340 | 235,166 | 277,981 |
| 1992 | 5,614,680 | 223,123 | 254,229 |
| 1991 | 5,023,760 | 187,351 | 229,527 |
| 1990 | 4,480,290 | 166,845 | 204,997 |
| 1989 | 4,033,070 | 152,727 | 187,121 |
| 1988 | 3,615,320 | 126,461 | 165,626 |
| 1987 | 3,344,960 | 105,040 | 148,145 |
| 1986 | 2,966,910 | 78,234 | 128,176 |
| 1985 | 2,536,010 | 63,641 | 112,669 |
| 1984 | 2,418,880 | 61,088 | 104,168 |
| 1983 | 2,170,010 | 54,162 | 91,412 |
| 1982 | 1,938,390 | 49,545 | 80,647 |
| 1981 | 1,805,040 | 48,986 | 72,460 |
| 1980 | 1,522,630 | 42,300 | 72,472 |
