# India Post Mail Routing  Sorting Hub Codes and PIN Prefix Mapping (Routing Identifiers)

| State | Sorting Hub City | Hub Code | PIN Prefixes Served | Transport Mode | Operational Comment |
| --- | --- | --- | --- | --- | --- |
| Gujarat | Ahmedabad | AMD-SRT-01 | 380, 382, 383 | Road/Air | Prefix-based routing |
| Uttar Pradesh | Lucknow | LKO-SRT-02 | 226, 227, 228 | Road/Air | Not locality PIN list |
| Haryana | Gurugram | GGM-SRT-05 | 122 | Road | Prefix bucket only |
| Tamil Nadu | Coimbatore | CBE-SRT-03 | 641 | Road | Operational mapping |
| Madhya Pradesh | Ujjain | UJN-SRT-07 | 456 | Road | Hub-level view |
| Assam | Jorhat | JRH-SRT-04 | 785 | Road | Not addressable PIN detail |
| Rajasthan | Jaipur | JPR-SRT-01 | 302, 303 | Road/Air | Administrative routing |
| Bihar | Patna | PAT-SRT-01 | 800, 801 | Road/Air | Not neighborhood-level |
| Maharashtra | Pune | PUN-SRT-06 | 411, 412 | Road/Air | Sorting network codes |
