# Leader of the Opposition (Alberta) — Provincial Official Opposition leaders roster

| # | Name | Party (as Opposition) | Took Office | Left Office | Legislature context |
|---:|---|---|---|---|---|
| 1 | Laurence Decore | Liberal | 1988 | 1994 | Liberal Official Opposition period |
| 2 | Grant Mitchell | Liberal | 1994 | 1998 | Succeeded Decore |
| 3 | Nancy MacBeth | Liberal | 1998 | 1999 | Left after leadership change |
| 4 | Raj Pannu | New Democratic Party | 1999 | 2004 | NDP became Official Opposition |
| 5 | Kevin Taft | Liberal | 2004 | 2008 | Liberals regained Official Opposition |
| 6 | David Swann | Liberal | 2008 | 2011 | Continued as Liberal opposition leader |
| 7 | Raj Sherman | Liberal | 2011 | 2012 | Interim/short tenure |
| 8 | Danielle Smith | Wildrose | 2012 | 2014 | Wildrose as Official Opposition |
| 9 | Jim Prentice | Progressive Conservative | 2014 | 2015 | Listed while PCs briefly in opposition before 2015 election |
| 10 | Brian Jean | Wildrose | 2015 | 2017 | Wildrose returned as Official Opposition |
| 11 | Jason Kenney | United Conservative Party | 2017 | 2019 | UCP as opposition before forming government |
| 12 | Rachel Notley | New Democratic Party | 2019 | 2023 | NDP as Official Opposition |
| 13 | Danielle Smith | United Conservative Party | 2023 | 2023 | Briefly in opposition after leadership changes |
| 14 | Richard Gotfried | United Conservative Party | 2023 | Present | Acting/temporary opposition leadership entry |
