# Internal 'Wars' and Turf Conflicts (Non-state Actors) — Incident Summary

| Year(s) | Conflict label | City/Area | Parties involved | Reported impact |
|---|---|---|---|---|
| 1991–1994 | Taxi war (Johannesburg) | Gauteng | Rival taxi associations | Dozens of deaths and injuries |
| 1992–1995 | Gang war (Cape Flats) | Cape Town | Competing gangs | Homicide spike and displacement |
| 2004–2006 | Prison gang war | National prison system | Prison gangs | Riots and lockdowns |
| 2008 | Cartel turf war | Border region | Criminal organizations | Assassinations and fear campaigns |
| 2012–2014 | Construction site war | Metro area | Rival contractor groups | Intimidation and arson |
| 2015–2017 | Nightlife turf war | Downtown district | Clubs vs protection rackets | Extortion and violence |
| 2018–2019 | Mining community war | Mining belt | Armed groups vs locals | Attacks on facilities |
| 2020–2021 | Market stall war | Central market | Vendor factions | Clashes and injuries |
| 2022–2023 | Transport route war | Regional highways | Informal transport groups | Blockades and shootings |
| 2024 | Port logistics war | Harbor area | Labor factions | Strikes and sabotage allegations |
