# Super Smash Bros. Ultimate (SSBU) Competitive Tier List — Fighters Ranked by Tier and Composite Rating

| Rank | Fighter | Tier | Composite Rating (0–100) | Key Strength Archetype | Notable Weakness |
| ---: | --- | :---: | ---: | --- | --- |
| 1 | Steve | S+ | 98 | Resource snowball, kill power | Linear recovery when pressured |
| 2 | Joker | S+ | 97 | Mobility + Arsene burst | Can struggle to close without Arsene |
| 3 | Pikachu | S | 95 | Edgeguarding, combo routes | Light weight (dies early) |
| 4 | Sonic | S | 94 | Time-out potential, speed | Low burst damage without openings |
| 5 | Roy | A+ | 92 | Explosive close-range pressure | Recovery is exploitable |
| 6 | Palutena | A+ | 91 | Safe neutral tools, juggling | Can be predictable in advantage |
| 7 | Wolf | A | 89 | Well-rounded kit, confirms | Recovery distance limited |
| 8 | Lucina | A | 88 | Consistent spacing, fundamentals | Lower raw damage than top threats |
| 9 | Mario | A- | 86 | Punish game, ledgetrap | Short range vs disjoints |
| 10 | R.O.B. | A- | 85 | Projectile control, combos | Large hurtbox |
| 11 | Samus | B+ | 82 | Zoning, ledgetrap | Close-range scrambles can overwhelm |
| 12 | Kirby | C | 74 | Offstage threat, survivability | Slow grounded speed |
| 13 | Donkey Kong | C- | 70 | High damage, grabs | Big body; combo food |
| 14 | Ganondorf | D | 62 | Extreme kill power | Slow; poor disadvantage |
| 15 | Little Mac | D- | 58 | Ground dominance | Very weak recovery / aerial game |
