# List of diseases caused by insects
> Diseases

| Disease | Vector | Causative organism | Host | Symptoms | Area | Treatment |
| --- | --- | --- | --- | --- | --- | --- |
| African horse sickness | Culicoid midge | Orbivirus (virus) | Equids | Fever, lung, heart or mucous membrane symptoms. | Europe, Africa | Vaccination |
| Babesiosis | Tick | Babesia (protozoan) | Human, cattle | Fever then red urine | South Europe and Africa | Antibiotics |
| Bluetongue disease | Culicoid midge | Orbivirus (virus) | Cattle, sheep | Fever, salivation, swelling of face and tongue | Europe, Africa | Vaccination |
| Chagas disease (American trypanosomiasis) | Various assassin bugs of subfamily Triatominae | Trypanosoma cruzi (protozoan) |  | Mild symptoms, then chronic heart or brain inflammation | Central and South America | Antiparasitic drugs; treatment of symptoms |
| Dengue fever | Mosquito | Flavivirus (virus) |  | Fever then arthritis | (Sub) tropics and South Europe | Observation/supportive treatment |
| Tick-borne encephalitis | Tick | Tick-borne encephalitis virus |  | Ill with flu then meningitis | Central and North Europe | prevention and vaccination |
| Heartland virus disease | Tick | Heartland virus |  | Fever , lethargy , headache, myalgia , diarrhea, nausea, loss of appetite, anorexia , thrombocytopenia , leukopenia , arthralgia | Missouri and Tennessee, USA | Supportive treatment |
| Leishmaniasis | Sandfly | Leishmania (protozoan) |  | Fever, damage to the spleen and liver , and anaemia | South hemisphere and Mediterranean Countries | Treatment of infected |
| Lyme disease | Tick | Borrelia burgdorferi (bacterium) | Deer, human | Bull's-eye pattern skin rash around bite, fever, chills, fatigue, body aches, headache, joint pain. Sometimes neurological problems. [1] | Europe, North Africa, and North America | Prevention and antibiotics |
| Malaria | Mosquito | Plasmodium (protist) | Human | Headache then heavy fever | (Sub) tropics | Prevention and anti-malaria |
| Plague | Flea |  | Rats, Human |  |  | Prevention and Antibiotics |
| Pogosta disease Synonyms: Karelian fever Ockelbo disease Sindbis fever | Mosquito | Sindbis virus |  | Skin rash, fever, in severe cases - arthritis | Scandinavia, France, Russia | unknown |
| Rickettsial diseases: Typhus rickettsialpox Boutonneuse fever African tick bite fever Rocky Mountain spotted fever etc. | Tick , lice | Rickettsia species (bacteria) |  | Fever with bleeding around the bite | Global | Prevention and antibiotics |
| African trypanosomiasis (sleeping sickness) | Tsetse fly | Trypanosoma brucei (protozoan) | Wild mammals, cattle, human | Fever, joint pain, swollen lymph nodes, sleep disturbances | Sub-Saharan Africa | Various drugs |
| Filariasis | Mosquito | Wuchereria bancrofti | human | Fever, swelling of limbs | Africa, Asia. | Various drugs |
| West Nile disease | Mosquito | West Nile virus | Birds, human | Fever, headaches, skin rash, body aches. | Africa, Asia, North America,South and East Europe | None |
