# Saskatchewan
> Economy

| Fiscal Year | Population 1 | Gov't Debt 2 | Crown Debt 3 | Budget Surplus | GFSF Balance | Pers. Inc. Tax Revenue | Corp. Inc. Tax Revenue 4 | PST Revenue 5 | Resource Revenue | Health Expense | Credit Rating 6 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 2012–2013 | 1,073,107 | 3,804,817 | 5,374,362 | 16,000 | 666,000 | 2,406,254 | 838,275 | 1,284,893 | 2,515,869 | 4,575,589 | AAAA |
| 2011–2012 | 1,053,960 | 3,807,590 | 4,462,159 | 55,000 | 708,000 | 1,897,409 | 793,790 | 1,322,161 | 2,821,957 | 4,400,159 | AAA |
| 2010–2011 | 1,041,729 | 4,135,226 | 3,982,386 | 96,000 | 1,006,000 | 1,795,788 | 1,155,273 | 1,186,922 | 2,527,799 | 4,202,106 | AA+ |
| 2009–2010 | 1,025,638 | 4,140,482 | 3,852,168 | 167,705 | 958,000 | 1,890,848 | 881,424 | 1,084,001 | 1,910,624 | 3,934,231 | AA+ |
| 2008–2009 | 1,010,218 | 4,145,286 | 3,556,270 | 1,969,933 | 1,215,000 | 1,844,226 | 591,930 | 1,108,628 | 4,612,408 | 3,976,241 | AA+ |
| 2007–2008 | 996,130 | 6,824,323 | 3,394,328 | 1,282,869 | 1,528,934 | 1,938,258 | 673,641 | 995,995 | 2,325,116 | 3,504,333 | AA |
| 2006–2007 | 991,260 | 7,244,938 | 3,449,356 | 397,794 | 887,500 | 1,668,538 | 1,067,459 | 1,079,794 | 1,694,252 | 3,202,965 | AA |
| 2005–2006 | 994,996 | 7,197,223 | 3,490,817 | 539,466 | 887,500 | 1,447,905 | 918,279 | 1,112,350 | 1,721,100 | 2,990,625 | AA |
| 2004–2005 | 997,263 | 7,545,574 | 3,360,474 | 765,117 | 748,500 | 1,329,081 | 638,968 | 985,079 | 1,474,191 | 2,773,961 | AA- |
| 2003–2004 | 995,848 | 8,031,637 | 3,216,602 | -210,017 | 366,000 | 1,245,763 | 682,052 | 854,480 | 1,140,962 | 2,515,823 | AA- |
| 2002–2003 | 997,805 | 7,821,426 | 3,205,043 | 82,860 | 577,000 | 1,429,757 | 557,360 | 813,932 | 1,243,649 | 2,342,835 | A+ |
| 2001–2002 | 1,001,643 | 7,561,899 | 3,261,468 | -278,902 | 495,000 | 1,196,410 | 507,542 | 770,984 | 903,044 | 2,199,723 | A+ |
