# Academic Year 2016–2017  Key Dates (Instructional Days, Breaks, and Religious Holidays)

| Category | Event | Date(s) |
| --- | --- | --- |
| Academic | First day of classes | Aug 29, 2016 |
| Academic | Fall Break | Oct 10–11, 2016 |
| Religious (Jewish) | Rosh Hashanah | Oct 3–4, 2016 |
| Religious (Jewish) | Yom Kippur | Oct 12, 2016 |
| Religious (Jewish) | Sukkot | Oct 17–23, 2016 |
| Academic | Thanksgiving Break | Nov 23–27, 2016 |
| Religious (Christian) | Christmas Day | Dec 25, 2016 |
| Religious (Jewish) | Hanukkah | Dec 24, 2016–Jan 1, 2017 |
| Academic | Spring Break | Mar 6–10, 2017 |
| Religious (Jewish) | Passover | Apr 10–18, 2017 |
| Civic | Martin Luther King Jr. Day | Jan 16, 2017 |
