# Oldest U.S. Senators by age at first taking office (age-focused senator roster)

| Senator | State | Date of Birth | First Took Office (approx.) | Age When First Took Office (years) | Age/Longevity Detail |
|---|---|---|---|---:|---|
| Rebecca Latimer Felton | Georgia | 1835-06-10 | 1922-11 | 87 | Often cited as the oldest first-time senator |
| Hiram Fong | Hawaii | 1907-10-01 | 1959-08 | 51 | Notable for later-life longevity discussions |
| Strom Thurmond | South Carolina | 1902-12-05 | 1954-11 | 51 | Later became a centenarian |
| James L. Buckley | New York | 1923-03-09 | 1971-01 | 47 | Age at entry included for comparison |
| John Tower | Texas | 1925-09-29 | 1961-01 | 35 | Included as contrast to very old entrants |
| Bernie Sanders | Vermont | 1941-09-08 | 2007-01 | 65 | Entered Senate at a relatively advanced age |
| Joe Biden | Delaware | 1942-11-20 | 1973-01 | 30 | Included for wide age-range context |
| Dianne Feinstein | California | 1933-06-22 | 1992-11 | 59 | Later became one of the oldest serving senators |
| Chuck Grassley | Iowa | 1933-09-17 | 1981-01 | 47 | Known for serving into advanced age |
