# Current Membership of the U.S. Supreme Court (Justice-to-President Mapping)

| Justice | Role | Nominating President |
|---|---|---|
| John G. Roberts Jr. | Chief Justice | George W. Bush |
| Clarence Thomas | Associate Justice | George H. W. Bush |
| Samuel A. Alito Jr. | Associate Justice | George W. Bush |
| Sonia Sotomayor | Associate Justice | Barack Obama |
| Elena Kagan | Associate Justice | Barack Obama |
| Neil M. Gorsuch | Associate Justice | Donald J. Trump |
| Brett M. Kavanaugh | Associate Justice | Donald J. Trump |
| Amy Coney Barrett | Associate Justice | Donald J. Trump |
| Ketanji Brown Jackson | Associate Justice | Joseph R. Biden Jr. |
