# World Curling Tour
> Men 's Events

| Week | Event | Location | Purse |
| --- | --- | --- | --- |
| 1 | Uiseong International Curling Tour | Uiseong, KOR | US$ 3,500 |
| 2 | Stu Sells Oakville Tankard | Oakville, ON | C$ 27,200 |
| 4 | GSOC Tour Challenge Tier 1 | Paradise, NL | C$ 100,000 |
| 5 | AMJ Campbell Shorty Jenkins Classic | Cornwall, ON | C$ 46,000 |
| 5 | HDF Insurance Shoot-Out | Edmonton, AB | C$ 22,000 |
| 5 | Cloverdale Cash Spiel | Surrey, BC | C$ 8,200 |
| 6 | Point Optical Curling Classic | Saskatoon, SK | C$ 41,000 |
| 6 | KW Fall Classic | Kitchener-Waterloo, ON | C$ 9,900 |
| 6 | Appleton Rum Cashspiel | Lower Sackville, NS | C$ 8,000 |
| 7 | Prestige Hotels & Resorts Curling Classic | Vernon, BC | C$ 17,000 |
| 7 | Sobeys Classic | New Glasgow, NS | C$ 11,200 |
| 8 | Minebea Cup | Miyota, JPN | ¥ 350,000 |
| 8 | Direct Horizontal Drilling Fall Classic | Edmonton, AB | C$ 50,000 |
| 8 | St. Paul Cash Spiel | St. Paul, MN | US$ 12,000 |
| 8 | Bud Light Men's Cashspiel | Halifax, NS | C$ 5,000 |
| 9 | Canad Inns Men's Classic | Portage la Prairie, MB | C$ 60,000 |
| 9 | Hub International Crown of Curling | Kamloops, BC | C$ 26,000 |
| 9 | Stroud Sleeman Cash Spiel | Stroud, ON | C$ 12,380 |
| 9 | McKee Homes Fall Curling Classic | Airdrie, AB | C$ 9,600 |
| 10 | Challenge Chateau Cartier de Gatineau | Gatineau, QC | C$ 45,000 |
| 10 | Red Deer Curling Classic | Red Deer, AB | C$ 39,000 |
| 10 | Bernick's Miller Lite Open | Bemidji, MN | US$ 14,000 |
| 10 | Grande Prairie Cash Spiel | Grande Prairie, AB | C$ 8,000 |
| 11 | Masters of Curling | Truro, NS | C$ 100,000 |
| 11 | Medicine Hat Charity Classic | Medicine Hat, AB | C$ 22,000 |
| 11 | Huron ReproGraphics Oil Heritage Classic | Sarnia, ON | C$ 22,000 |
| 12 | CookstownCash presented by Comco Canada Inc | Cookstown, ON | C$ 22,500 |
| 12 | Original 16 WCT Bonspiel | Calgary, AB | C$ 15,000 |
| 12 | Coronation Business Group Mens Classic | Maple Ridge, BC | C$ 8,000 |
| 12 | Fort St. John Cash Spiel | Fort St. John, BC | C$ 8,000 |
| 13 | The National | Oshawa, ON | C$ 100,000 |
| 13 | Westwood Inn Classic | Swan River, MB | C$ 36,000 |
| 13 | Bally Haly Cashspiel | St. Johns, NL | C$ 0 |
| 14 | DEKALB Superspiel | Morris, MB | C$ 45,000 |
| 14 | Dave Jones Molson Mayflower Cashspiel | Halifax, NS | C$ 27,400 |
| 15 | Weatherford Curling Classic | Estevan, SK | C$ 32,000 |
| 15 | Challenge Casino de Charlevoix | Clermont, QC | C$ 27,000 |
| 15 | Coors Light Cash Spiel | Duluth, MN | US$ 16,000 |
| 15 | Black Diamond / High River Cash | Black Diamond / High River, AB | C$ 8,000 |
| 15 | Spitfire Arms Cash Spiel | Windsor, NS | C$ 4,900 |
| 15 | Dawson Creek Cash Spiel | Dawson Creek, BC | C$ 8,000 |
| 16 | Home Hardware Canada Cup of Curling | Camrose, AB | C$ 70,000 |
| 16 | WFG Jim Sullivan Curling Classic | Saint John, NB | C$ 15,300 |
| 17 | Canadian Open | Yorkton, SK | C$ 100,000 |
| 17 | Truro Cashspiel | Truro, NS | C$ 12,000 |
| 18 | Karuizawa International | Karuizawa, JPN | ¥ 2,500,000 |
| 18 | Curl Mesabi Classic | Eveleth, MN | US$ 20,000 |
| 20 | U.S. Open of Curling | Blaine, MN | US$ 24,000 |
| 20 | Peace River Cash Spiel | Peace River, AB | C$ 8,000 |
| 21 | Goldline Saskatchewan Players Championship | Humboldt, SK | C$ 11,000 |
| 22 | Red Square Classic | Moscow, RUS | {{currency}} – invalid amount ( help ) |
| 23 | Ed Werenich Golden Wrench Classic | Tempe, AZ | US$ 15,300 |
| 31 | Elite 10 | Victoria, BC | C$ 100,000 |
| 31 | Alberta Series Championship | Mundare, AB | {{currency}} – invalid amount ( help ) |
| 35 | Players' Championship | Toronto, ON | C$ 100,000 |
| 37 | Champions Cup |  | C$ 100,000 |
