# Golden Gate Raptor Observatory
> Migration Season

| Species | Peak Migration Time | Average # of Sightings/Year (2003-2014) |
| --- | --- | --- |
| Red-tailed Hawk | September and November | 8,947 |
| Red-shouldered Hawk | September–October | 463 |
| Broad-winged Hawk | Mid-September-Mid-October | 215 |
| Rough-legged Hawk | November | 6 |
| Swainson's Hawk | September–October | 7 |
| Ferruginous Hawk | September–November | 21 |
| Cooper's Hawk | September–October | 2,435 |
| Sharp-shinned Hawk | September–October | 3,945 |
| Northern Goshawk | October–November | 1 |
| American Kestrel | August–December | 482 |
| Peregrine Falcon | Late-September–December | 237 |
| Prairie Falcon | August–September | 6 |
| Merlin | October | 178 |
| Osprey | August-Mid-October | 93 |
| Turkey Vulture | August–December | 8434 |
| Northern Harrier | October–December | 618 |
| White-tailed Kite | October | 97 |
| Golden Eagle | Late-September–October | 18 |
| Bald Eagle | Late-October–November | 6 |
