# Breed-Specific Dog Food Recommendations by Breed Group (With Nutrition Focus)

| Breed / Breed Group | Example Breed(s) | Recommended Food Type (Examples) | Nutrition Emphasis / Notes | Typical Life Stage |
| --- | --- | --- | --- | --- |
| Large Breed (Puppy) | Labrador Retriever, Golden Retriever | Large-breed puppy formula (e.g., "Large Breed Puppy" recipes) | Controlled calcium & phosphorus to support slower skeletal growth; moderate fat | Puppy |
| Giant Breed | Great Dane, Mastiff | Giant/large-breed formula | Lower calorie density; joint-support add-ons (glucosamine/chondroitin); careful Ca:P ratio | Adult |
| Small / Toy Breed | Chihuahua, Yorkshire Terrier | Small-breed kibble (small pieces) | Higher calorie per cup; often higher fat; may add omega-3s for coat | Adult |
| Brachycephalic Breeds | French Bulldog, Pug | Breed/shape-targeted kibble; sensitive-skin formulas | Easily chewable kibble; moderate fat; sometimes higher omega-3/6 for skin | Adult |
| Working / High-Energy Breeds | Border Collie, Belgian Malinois | Performance/active dog formulas | Higher protein and fat; energy-dense; may include added antioxidants | Adult |
| Northern / Double-Coat Breeds | Siberian Husky, Alaskan Malamute | High-quality fish-based or limited-ingredient options | Omega-3 rich (fish oil); moderate-to-high protein; avoid unnecessary fillers if sensitive | Adult |
| Sensitive Stomach Prone Breeds | German Shepherd, Boxer | Sensitive digestion formulas | Prebiotics/probiotics; easily digestible carbs; moderate fat | Adult |
| Medium Breed (All-purpose) | Beagle, Cocker Spaniel | Balanced “adult maintenance” recipes | Balanced macros; watch calorie density if prone to weight gain | Adult |
| Weight-Prone Breeds | Pug, Labrador Retriever | Weight management formulas | Higher fiber; lower fat; controlled calories; adequate protein to preserve lean mass | Adult |
| Senior (Any Breed) | Mixed breeds, large breeds aging | Senior formulas | Lower calories; higher joint support; moderate protein with quality sources | Senior |
