# Most Popular Baby Names — Annual Ranking Snapshot for 2012 (Top 25)

| Rank | Boys' Name | Girls' Name |
|---:|---|---|
| 1 | Jacob | Sophia |
| 2 | Mason | Emma |
| 3 | Ethan | Isabella |
| 4 | Noah | Olivia |
| 5 | William | Ava |
| 6 | Liam | Emily |
| 7 | Jayden | Abigail |
| 8 | Michael | Mia |
| 9 | Alexander | Madison |
| 10 | Aiden | Elizabeth |
| 11 | Daniel | Chloe |
| 12 | Anthony | Ella |
| 13 | Matthew | Addison |
| 14 | Elijah | Natalie |
| 15 | Joshua | Lily |
| 16 | Andrew | Grace |
| 17 | James | Samantha |
| 18 | David | Avery |
| 19 | Benjamin | Sofia |
| 20 | Logan | Aubrey |
| 21 | Christopher | Brooklyn |
| 22 | Joseph | Lillian |
| 23 | Jackson | Victoria |
| 24 | Gabriel | Evelyn |
| 25 | Ryan | Zoey |
