# Extraocular Muscle Actions and Clinical Findings (Including Pupil Signs)

| Muscle | Primary action | If weak, eye position | Pupil finding | Typical bedside clue |
|---|---|---|---|---|
| Superior rectus | Elevation (esp. abducted) | Cannot look up well | Dilated pupil may occur | Ptosis + “down and out” pattern may coexist |
| Inferior rectus | Depression (esp. abducted) | Cannot look down well | Dilated pupil may occur | Vertical diplopia worse on downgaze |
| Medial rectus | Adduction | Eye drifts laterally | Normal pupil | Horizontal diplopia worse on near gaze |
| Lateral rectus | Abduction | Eye drifts medially | Normal pupil | Cannot abduct; worse looking toward affected side |
| Superior oblique | Intorsion + depression (adducted) | Hypertropia | Normal pupil | Worse going downstairs; head tilt compensation |
| Inferior oblique | Extorsion + elevation (adducted) | Difficulty elevating in adduction | Normal pupil | Vertical diplopia on upgaze |
| Levator palpebrae superioris | Eyelid elevation | Ptosis | Dilated pupil may occur | Ptosis noted at rest |
| Sphincter pupillae | Pupillary constriction | — | Constricted/poor light response | Loss of direct/consensual response |
| Dilator pupillae | Pupillary dilation | — | Dilated pupil | Anisocoria in dark |
